	negative_arousal	negative_valence	positive_arousal	positive_valence	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	csf	white_matter	drift_1	drift_2	drift_3	drift_4	drift_5	drift_6	drift_7	drift_8	drift_9	drift_10	drift_11	drift_12	constant
80.0	0.0	0.0	0.0	0.5003069411283834	-0.0448203477705106	-0.0620587620319668	-0.5182825255530616	-0.0131893331823095	0.0046594188198045	0.000803768886097	1568.7829382016323	849.2884725334266	0.07365101871619455	0.05474634454637801	0.02674806038310769	-0.005693194926834851	-0.03718878537622238	-0.06250715407420815	-0.07744280798709906	-0.07951486893377797	-0.06837915842547289	-0.045885367235176805	-0.01576981357835436	0.01696517586983017	1.0
82.0	0.0	0.0	0.0	1.079351778659892	-0.032583244436509	-0.0524031577624271	-0.5194388248440021	-0.012898326627142	0.0048011315564884	0.000789000963602	1569.8700768445294	849.0538079330778	0.07332245195969114	0.05354391838917862	0.024433447146684526	-0.008935423793553735	-0.04074697841435288	-0.0654569186161152	-0.07875865592383963	-0.07833388814338105	-0.06425664621180117	-0.03898039166592803	-0.006910413455456873	0.026363950791636195	1.0
84.0	0.0	0.0	0.0	1.3170105121130509	-0.0334238414239536	-0.0515672247133522	-0.506257969112923	-0.0133834758110475	0.0047114395635452	0.0006415619475261	1570.1510701618138	849.9162617510648	0.07298635494927365	0.05231949684376979	0.022096251507033815	-0.012162971782442291	-0.044200574543291134	-0.06816474709818932	-0.07967832746305821	-0.07663830932051766	-0.05959996541424177	-0.03167542452928909	0.0020347725789917294	0.035373309486670806	1.0
86.0	0.0	0.0	0.0	1.27399145274011	-0.0445478163074852	-0.0416595435922886	-0.5271985073479399	-0.0130644850582307	0.0048482093307311	0.000614200499445	1570.4872925981924	849.962640134391	0.07264276220227969	0.05107358289215269	0.019738633597109315	-0.015370536040629641	-0.047540708431306075	-0.07062063108484408	-0.08019719641918784	-0.07443927121428882	-0.05444782724375714	-0.024045424673281725	0.010954698935186179	0.04386017666222183	1.0
88.0	0.0	0.0	0.0	0.8201509486091103	-0.0319185037233324	0.003295774373015	-0.5907272134892736	-0.013395484657982	0.0046049314850982	0.001088893439479	1585.4223961985783	850.9388901672535	0.0722917090058629	0.04980668834522699	0.017362772424972382	-0.018552846548461954	-0.050758806002611734	-0.0728154933554021	-0.08031265274725741	-0.07175121994385963	-0.04884306167222985	-0.016168686221467984	0.019738633597109295	0.05169919463503699	1.0
90.0	0.0	0.0	0.0	0.08128561306896281	-0.0454926779485447	-0.0214312947241523	-0.4866692453152552	-0.0136696358531492	0.0044091129958827	0.0007471733887337	1582.1291382107606	851.2708014693076	0.07193323141336898	0.0485193336325432	0.014970863859862392	-0.021704674778130928	-0.05384660644689682	-0.0747412214545135	-0.08002411567209254	-0.06859181409771227	-0.04283226138485086	-0.008126035169293768	0.02827753275040241	0.05877457496260666	1.0
92.0	0.0	0.0	0.0	-0.07260264006291003	-0.0359582792322754	-0.0402854271957267	-0.5107558666027359	-0.0135896148310566	0.0047846599642429	0.0006740421016002	1575.0134980063056	849.0773888383096	0.0715673662406329	0.047212047588514626	0.01256511860268357	-0.024820842284131246	-0.05679618342470648	-0.07639069767669417	-0.07933303660976493	-0.0649818087292562	-0.0364653944528909	-1.4754899702305953e-17	0.036465394452890876	0.06498180872925619	1.0
94.0	0.0	0.0	0.0	0.5006423110493934	-0.0367894239836914	-0.0280148545940051	-0.527338555107697	-0.0138536498470717	0.0045572834869667	0.0007151057393948	1578.4786301338354	850.1236431744416	0.07119415106219802	0.04588536723517674	0.010147760142783738	-0.027896229211432914	-0.059599965414241736	-0.07775782537415771	-0.07824289186659421	-0.06094491901086235	-0.029795388946726484	0.008126035169293668	0.04420057454329113	0.07022921022478218	1.0
96.0	0.0	0.0	0.0	1.0794698105022325	-0.0300586246303424	-0.0148246076745124	-0.5337805983706545	-0.0139922732023765	0.0045562518840391	0.0007849196272735	1575.5271384581613	849.2375865685959	0.0708136242074571	0.04453983756158301	0.007721022702913327	-0.03092578270738969	-0.06225075514734767	-0.07883755149070468	-0.07675916515242867	-0.05650766444201689	-0.022877692942250092	0.016168686221467957	0.051387048452401315	0.07443927121428878	1.0
98.0	0.0	0.0	0.0	1.317047940779084	-0.0262707897680911	-0.0209147688458131	-0.5159463861576654	-0.0139247754959689	0.0048963082826212	0.0007111285324817	1574.4767488655068	849.1982307198739	0.07042582475671583	0.04317601129992799	0.0052871491742642815	-0.03390452522356268	-0.06474174808479725	-0.07962588523838077	-0.0748893199961672	-0.05169919463503701	-0.01576981357835436	0.024045424673281697	0.05793560325264408	0.07754980579559587	1.0
