	negative_arousal	negative_valence	positive_arousal	positive_valence	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	drift_1	drift_2	drift_3	drift_4	drift_5	drift_6	drift_7	drift_8	drift_9	drift_10	drift_11	drift_12	constant
72.0	0.0	0.0	0.0	1.274022521486323	-0.0141729959846088	-0.0960592115161347	0.0100373592965112	-0.0047126841284678	0.000370882217082	0.0008993791972774	0.0748893199961672	0.05932635613067136	0.035738258514601905	0.007315811996999604	-0.022096251507033787	-0.04851933363254317	-0.06837915842547285	-0.07898926811863456	-0.07891442288020152	-0.06816474709818934	-0.04819435984466674	-0.02170467477813101	1.0
74.0	0.0	0.0	0.0	0.820153886703887	-0.029579816935481	-0.131275061999986	-0.0239510992917857	-0.0037082569277291	0.0005493390617781	0.00089702294507	0.07459120390997251	0.05821675761515454	0.0335351292593967	0.0040682391404100226	-0.025979164297958608	-0.05231949684376977	-0.07119415106219801	-0.07990982702805212	-0.07722285006760443	-0.06351663567354772	-0.0407469784143529	-0.012162971782442328	1.0
76.0	0.0	0.0	0.0	0.08128635766844586	-0.0098214703686068	-0.137769544741559	-0.0815636399837202	-0.0051671946220578	0.0003706590795622	0.0009069627559362	0.07428542726837921	0.05708324414864865	0.03130100544960912	0.0008139821775950853	-0.029795388946726467	-0.05592628136888591	-0.07365101871619453	-0.08030543510535848	-0.0748893199961672	-0.05821675761515454	-0.03279376376454209	-0.002441612155800372	1.0
78.0	0.0	0.0	0.0	-0.07260264006291003	-0.0176175959228714	-0.1305516874287207	-0.0817970558159331	-0.0051982672034091	0.0003680955935481	0.0013109657787207	0.07397202147480728	0.05592628136888593	0.029037951954941292	-0.0024416121558002986	-0.03353512925939668	-0.059326356130671346	-0.0757374027080902	-0.08017349348634517	-0.07193323141336898	-0.05231949684376982	-0.02443344714668455	0.007315811996999566	1.0
80.0	0.0	0.0	0.0	0.5006423110493934	-0.0070155423451154	-0.1453799875756942	-0.0900028200465854	-0.0054912040599496	0.0003698778701235	0.0009560232604801	0.07365101871619455	0.05474634454637801	0.02674806038310769	-0.005693194926834851	-0.03718878537622238	-0.06250715407420815	-0.07744280798709906	-0.07951486893377797	-0.06837915842547289	-0.045885367235176805	-0.01576981357835436	0.01696517586983017	1.0
82.0	0.0	0.0	0.0	1.0794698105022325	-0.0026672692209928	-0.1009558034825772	-0.0932229544617797	-0.0066897647629512	0.0003291182214799	0.0013111154832351	0.07332245195969114	0.05354391838917862	0.024433447146684526	-0.008935423793553735	-0.04074697841435288	-0.0654569186161152	-0.07875865592383963	-0.07833388814338105	-0.06425664621180117	-0.03898039166592803	-0.006910413455456873	0.026363950791636195	1.0
84.0	0.0	0.0	0.0	1.317047940779084	0.0050970433126451	-0.169959101960444	-0.0768515401742178	-0.0055342350346828	0.0003573533346035	0.0011379991457076	0.07298635494927365	0.05231949684376979	0.022096251507033815	-0.012162971782442291	-0.044200574543291134	-0.06816474709818932	-0.07967832746305821	-0.07663830932051766	-0.05959996541424177	-0.03167542452928909	0.0020347725789917294	0.035373309486670806	1.0
86.0	0.0	0.0	0.0	1.2719421809218918	0.0024833924316851	-0.1248577058310616	-0.0672324066334368	-0.0065182708392004	0.0003488997853178	0.0012591504610378	0.07264276220227969	0.05107358289215269	0.019738633597109315	-0.015370536040629641	-0.047540708431306075	-0.07062063108484408	-0.08019719641918784	-0.07443927121428882	-0.05444782724375714	-0.024045424673281725	0.010954698935186179	0.04386017666222183	1.0
88.0	0.0	0.0	0.0	0.8082149316032795	-0.0098554167636422	-0.1497100215064648	-0.0725322311667895	-0.0063313244225438	0.0004536109344235	0.0012294510440127	0.0722917090058629	0.04980668834522699	0.017362772424972382	-0.018552846548461954	-0.050758806002611734	-0.0728154933554021	-0.08031265274725741	-0.07175121994385963	-0.04884306167222985	-0.016168686221467984	0.019738633597109295	0.05169919463503699	1.0
90.0	0.0	0.0	0.0	0.06881670705618136	0.0025326528276394	-0.1724227414888446	-0.1624351878156602	-0.0072022194564615	0.0004188080336158	0.0007490169628621	0.07193323141336898	0.0485193336325432	0.014970863859862392	-0.021704674778130928	-0.05384660644689682	-0.0747412214545135	-0.08002411567209254	-0.06859181409771227	-0.04283226138485086	-0.008126035169293768	0.02827753275040241	0.05877457496260666	1.0
